   3.7570345e+01   1.2008503e+01   1.3297693e+01
   6.5183198e+01   1.4879678e+01   1.7496232e+01
   5.0376967e+01  -1.6020052e+00  -2.1464446e+01
   4.3091519e+01  -1.4562559e+01   2.2057019e+01
   5.5351167e+01   1.1412893e+01  -2.5251424e+01
   7.1388451e+01  -3.2719457e+01   1.6218870e+00
   6.1376622e+01   3.2927084e+01   5.5167831e+01
   4.0709238e+01   1.6959458e+01  -4.5142505e+01
   4.9856980e+01   4.5914127e+01   1.3810139e+01
   3.0131698e+01   2.4930282e+01  -2.2570207e+01
   7.2457485e+01  -2.7448583e+01   5.8531556e+01
   7.0913671e+01   1.5532451e+01   6.6561842e+01
   2.9585784e+01   2.1489547e+01  -4.9046320e+01
   5.5680134e+01  -4.0809998e+01   3.3269387e+01
   4.0574348e+01   4.9973603e+01   2.5565998e+01
   8.0984075e+01  -9.7654495e-01   8.0033910e+01
   5.1025041e+01   4.9911272e+01  -1.6908191e+01
   5.2869764e+01  -1.9967321e+01  -2.4942847e+01
   9.6530313e+01  -6.8822245e-01   1.4093984e+00
   8.1265634e+01  -5.9670248e-01  -2.1530984e-01
   6.6818490e+01  -6.6617817e-01  -3.8733990e-01
   5.0868950e+01   1.8896036e-02  -3.1343879e-01
   3.5697611e+01  -2.6906861e-01  -1.1067530e+00
   2.0511175e+01  -1.9984581e-02  -9.3178489e-01
